word	archphoneme
tarana	/ta.ˈɾã.na/
patana	/pa.ˈtã.na/
parafa	/pa.ˈɾa.fa/
perana	/pe.ˈɾã.na/
parena	/pa.ˈɾẽ.na/
parane	/pa.ˈɾã.nɪ/
fanada	/fa.ˈna.da/
cadada	/ka.ˈda.da/
canaga	/ka.ˈna.ga/
conada	/kõ.ˈna.da/
canida	/ka.ˈni.da/
canadu	/ka.na.ˈdu/
jomite	/ʒo.ˈmi.Tɪ/
copite	/ko.ˈpi.Tɪ/
comife	/ko.ˈmi.fɪ/
camite	/ka.ˈmi.Tɪ/
comote	/ko.ˈmɔ.Tɪ/
comitu	/ko.mi.ˈtu/
zidade	/zi.ˈda.Dɪ/
cicade	/si.ˈka.Dɪ/
cidafe	/si.ˈda.fɪ/
cedade	/se.ˈda.Dɪ/
cidide	/si.ˈDi.Dɪ/
cidadu	/si.da.ˈdu/
babela	/ba.ˈbɛ.la/
tafela	/ta.ˈfɛ.la/
tabeda	/ta.ˈbe.da/
tobela	/to.ˈbɛ.la/
tabala	/ta.ˈba.la/
tibela	/Ti.ˈbɛ.la/
digura	/Di.ˈgu.ɾa/
fidura	/fi.ˈdu.ɾa/
figuba	/fi.ˈgu.ba/
fagura	/fa.ˈgu.ɾa/
figora	/fi.ˈgo.ɾa/
figuri	/fi.gu.ˈɾi/
lumero	/lu.ˈmɛ.ɾʊ/
nupero	/nu.ˈpɛ.ɾʊ/
numeco	/nu.ˈme.kʊ/
nimero	/ni.ˈmɛ.ɾʊ/
numaro	/nu.ˈma.ɾʊ/
namero	/na.ˈmɛ.ɾʊ/
neculo	/ne.ˈku.lʊ/
sevulo	/se.ˈvu.lʊ/
secuno	/se.ˈkũ.nʊ/
siculo	/si.ˈku.lʊ/
saculo	/sa.ˈku.lʊ/
secule	/se.ˈku.lɪ/
setodo	/se.ˈtɔ.dʊ/
mepodo	/me.ˈpɔ.dʊ/
metopo	/me.ˈtɔ.pʊ/
mutodo	/mu.ˈtɔ.dʊ/
metedo	/me.ˈte.dʊ/
metode	/me.ˈtɔ.Dɪ/
lapital	/la.pi.ˈtaw/
cabital	/ka.bi.ˈtaw/
capifal	/ka.pi.ˈfaw/
copital	/ko.pi.ˈtaw/
caputal	/ka.pu.ˈtaw/
capitol	/ka.pi.ˈtow/
siretor	/si.ɾe.ˈtoR/
difetor	/Di.fe.ˈtoR/
diredor	/Di.ɾe.ˈdoR/
daretor	/da.ɾe.ˈtoR/
dirotor	/Di.ɾo.ˈtoR/
diretur	/Di.ɾe.ˈtuR/
datural	/da.tu.ˈɾaw/
nabural	/na.bu.ˈɾaw/
natupal	/na.tu.ˈpaw/
nitural	/ni.tu.ˈɾaw/
nataral	/na.ta.ˈɾaw/
naturol	/na.tu.ˈɾow/
bocivel	/bo.si.ˈvew/
pobivel	/po.bi.ˈvew/
pocibel	/po.si.ˈbɛw/
picivel	/pi.si.ˈvew/
pocevel	/po.se.ˈvew/
pocivol	/po.si.ˈvow/
darater	/da.ɾa.ˈteR/
cacater	/ka.ka.ˈteR/
caraper	/ka.ɾa.ˈpeR/
curater	/ku.ɾa.ˈteR/
caruter	/ka.ɾu.ˈteR/
carator	/ka.ɾa.ˈtoR/
zificil	/zi.fi.ˈsiw/
dipicil	/Di.pi.ˈsiw/
difibil	/Di.fi.ˈbiw/
daficil	/da.fi.ˈsiw/
difucil	/Di.fu.ˈsiw/
dificol	/Di.fi.ˈkow/
lapaca	/la.ˈpa.ka/
dabaza	/da.ˈba.za/
zavaba	/za.ˈva.ba/
poruna	/po.ˈɾũ.na/
piruno	/pi.ˈɾũ.nʊ/
poranu	/po.ɾa.ˈnu/
zofire	/zo.ˈfi.ɾɪ/
zoteme	/zo.ˈtẽ.mɪ/
dovife	/do.ˈvi.fɪ/
camota	/ka.ˈmɔ.ta/
camate	/ka.ˈma.Tɪ/
comato	/kõ.ˈma.tʊ/
fapama	/fa.ˈpã.ma/
lacafa	/la.ˈka.fa/
bavaga	/ba.ˈva.ga/
conedo	/ko.ˈne.dʊ/
conado	/kõ.ˈna.dʊ/
cundo	/ˈkũ.dʊ/
tefifa	/te.ˈfi.fa/
lenipa	/le.ˈni.pa/
tepiva	/te.ˈpi.va/
midode	/mi.ˈdɔ.Dɪ/
madda	/ˈmag.da/
medoda	/me.ˈdɔ.da/
narafo	/na.ˈɾa.fʊ/
nagafu	/na.ga.ˈfu/
dalapo	/da.ˈla.pʊ/
piceda	/pi.ˈse.da/
pucido	/pu.ˈsi.dʊ/
pacido	/pa.ˈsi.dʊ/
pucuto	/pu.ˈku.tʊ/
nubuvo	/nu.ˈbu.vʊ/
dumufo	/du.ˈmu.fʊ/
futira	/fu.ˈTi.ɾa/
fetara	/fe.ˈta.ɾa/
fitare	/fi.ˈta.ɾɪ/
sibumo	/si.ˈbũ.mʊ/
mivipo	/mi.ˈvi.pʊ/
lirufo	/Li.ˈɾu.fʊ/
titale	/Ti.ˈta.lɪ/
