word	transcriptions
martins	/ˈmah.tĩs/, /ˈmah.tĩʃ/, /ˈmah.tʃĩs/, /ˈmah.tʃĩʃ/, /ˈmaɻ.tʃĩs/, /ˈmaɾ.tʃĩs/, /ˈmaʁ.tĩs/, /ˈmaʁ.tĩʃ/, /ˈmaʁ.tʃĩs/, /ˈmaʁ.tʃĩʃ/, /ˈmaχ.tĩs/, /ˈmaχ.tĩʃ/, /ˈmaχ.tʃĩs/, /ˈmaχ.tʃĩʃ/
carambola	/ka.ɾã.ˈbɔ.la/
carteira	/kah.ˈtey.ɾa/, /kaɻ.ˈtey.ɾa/, /kaɾ.ˈtey.ɾa/, /kaʁ.ˈtey.ɾa/, /kaχ.ˈtey.ɾa/
cantinho	/kã.ˈtĩ.ɲʊ/, /kã.ˈtʃĩ.ɲʊ/
polido	/po.ˈli.dʊ/, /po.ˈʎi.dʊ/, /pu.ˈli.dʊ/, /pu.ˈʎi.dʊ/
polidinho	/po.li.ˈdĩ.ɲʊ/, /po.ʎi.ˈdʒĩ.ɲʊ/
teixeira	/tey.ˈʃey.ɾa/
fonética	/fo.ˈnɛ.ti.ka/, /fo.ˈnɛ.tʃi.ka/, /fɔ.ˈnɛ.ti.ka/, /fɔ.ˈnɛ.tʃi.ka/
seguro	/se.ˈgu.ɾʊ/, /si.ˈgu.ɾʊ/
perigo	/pe.ˈɾi.gʊ/, /pi.ˈɾi.gʊ/
menino	/me.ˈnĩ.nʊ/, /mi.ˈnĩ.nʊ/
peruca	/pe.ˈɾu.ka/, /pi.ˈɾu.ka/
pepino	/pe.ˈpĩ.nʊ/, /pi.ˈpĩ.nʊ/
tio	/ˈti.ʊ/, /ˈtʃi.ʊ/
pai	/ˈpay/
mãe	/ˈmãỹ/
